"hidden_dimensions","embedding_dimensions","fine_accuracy","coarse_accuracy","pred_0","pred_1","pred_2","pred_3","pred_4","pred_class","R_i","R_hate","R_the","R_movie","R_though","R_the2","R_plot","R_is","R_interesting","R_period","heatmap_html"
7,7,0.4485,0.79733009708738,0.04740082,0.37521506,-0.17047921,-0.38242394,-1.17244246,1,-1.13,0.95,0.02,0.07,0.17,0.06,0.67,-0.10,-1.53,-0.45,<span style="background-color:#4141ff">i</span> <span style="background-color:#ff6060">hate</span> <span style="background-color:#fffcfc">the</span> <span style="background-color:#fff4f4">movie</span> <span style="background-color:#ffe2e2">though</span> <span style="background-color:#fff4f4">the</span> <span style="background-color:#ff8e8e">plot</span> <span style="background-color:#eeeeff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#b3b3ff">.</span> 
7,10,0.4505,0.79672330097087,0.39545925,1.04294256,0.02228254,-0.48242081,-1.94130119,1,-1.67,1.60,-0.00,-0.20,0.33,-0.32,0.64,-0.26,-2.06,-0.91,<span style="background-color:#3030ff">i</span> <span style="background-color:#ff3838">hate</span> <span style="background-color:#fefeff">the</span> <span style="background-color:#e6e6ff">movie</span> <span style="background-color:#ffd6d6">though</span> <span style="background-color:#d6d6ff">the</span> <span style="background-color:#ffaeae">plot</span> <span style="background-color:#dedeff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#8e8eff">.</span> 
7,15,0.434,0.80764563106796,-0.00277688,0.46909982,-0.14346131,0.05338078,-0.82948104,1,-1.17,1.32,-0.01,-0.21,0.17,-0.25,0.66,-0.43,-1.77,-0.58,<span style="background-color:#5656ff">i</span> <span style="background-color:#ff4040">hate</span> <span style="background-color:#fefeff">the</span> <span style="background-color:#e0e0ff">movie</span> <span style="background-color:#ffe6e6">though</span> <span style="background-color:#dcdcff">the</span> <span style="background-color:#ffa0a0">plot</span> <span style="background-color:#c0c0ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#aaaaff">.</span> 
7,20,0.454,0.78883495145631,0.05048313,-0.18172767,-0.99737659,0.40250933,1.5251166 ,4,-0.40,0.15,0.72,0.13,-0.39,0.33,-1.09,0.13,5.43,-0.21,<span style="background-color:#ececff">i</span> <span style="background-color:#fff8f8">hate</span> <span style="background-color:#ffdcdc">the</span> <span style="background-color:#fffafa">movie</span> <span style="background-color:#ececff">though</span> <span style="background-color:#fff0f0">the</span> <span style="background-color:#ccccff">plot</span> <span style="background-color:#fff8f8">is</span> <span style="background-color:#ff0000">interesting</span> <span style="background-color:#f3f3ff">.</span> 
10,3,0.437,0.8003640776699,-0.01103867,0.81145686,-0.08262215,-0.494972,-1.96945549,1,-0.39,1.08,-0.05,0.13,0.14,-0.05,0.87,-0.07,-0.94,-0.31,<span style="background-color:#a2a2ff">i</span> <span style="background-color:#ff0000">hate</span> <span style="background-color:#f3f3ff">the</span> <span style="background-color:#ffe0e0">movie</span> <span style="background-color:#ffdede">though</span> <span style="background-color:#f3f3ff">the</span> <span style="background-color:#ff3030">plot</span> <span style="background-color:#eeeeff">is</span> <span style="background-color:#2020ff">interesting</span> <span style="background-color:#b6b6ff">.</span> 
10,4,0.449,0.79186893203883,0.3952557,1.00095882,0.1753385,-0.20179713,-1.32447733,1,-0.70,0.35,0.06,-0.05,0.57,0.00,0.51,-0.10,-1.57,-0.41,<span style="background-color:#8e8eff">i</span> <span style="background-color:#ffc6c6">hate</span> <span style="background-color:#fff6f6">the</span> <span style="background-color:#f6f6ff">movie</span> <span style="background-color:#ffa2a2">though</span> <span style="background-color:#fffefe">the</span> <span style="background-color:#ffacac">plot</span> <span style="background-color:#eeeeff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#bcbcff">.</span> 
10,5,0.429,0.78398058252427,0.85123493,1.14378403,-0.16079033,-0.87318893,-1.82971918,1,-0.59,0.95,-0.12,0.14,-0.03,-0.03,0.72,-0.03,-1.34,-0.40,<span style="background-color:#8e8eff">i</span> <span style="background-color:#ff4949">hate</span> <span style="background-color:#eaeaff">the</span> <span style="background-color:#ffe4e4">movie</span> <span style="background-color:#fafaff">though</span> <span style="background-color:#fafaff">the</span> <span style="background-color:#ff7676">plot</span> <span style="background-color:#fafaff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#b2b2ff">.</span> 
10,7,0.4515,0.79308252427184,0.20683445,0.76693426,-0.17940725,-0.32093969,-1.07391189,1,-0.40,0.69,0.10,0.12,0.56,0.16,0.72,-0.05,-1.21,-0.47,<span style="background-color:#aaaaff">i</span> <span style="background-color:#ff6e6e">hate</span> <span style="background-color:#ffeaea">the</span> <span style="background-color:#ffe6e6">movie</span> <span style="background-color:#ff8888">though</span> <span style="background-color:#ffdcdc">the</span> <span style="background-color:#ff6666">plot</span> <span style="background-color:#f3f3ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#9c9cff">.</span> 
10,10,0.449,0.79611650485437,-1.71371379,-0.53876214,-0.39346048,0.54556727,-0.0631431 ,3,0.20,-1.35,0.86,-0.17,0.43,0.46,-0.45,0.62,2.04,0.28,<span style="background-color:#ffe6e6">i</span> <span style="background-color:#5656ff">hate</span> <span style="background-color:#ff9393">the</span> <span style="background-color:#eaeaff">movie</span> <span style="background-color:#ffc8c8">though</span> <span style="background-color:#ffc6c6">the</span> <span style="background-color:#c6c6ff">plot</span> <span style="background-color:#ffb2b2">is</span> <span style="background-color:#ff0000">interesting</span> <span style="background-color:#ffdcdc">.</span> 
10,15,0.459,0.7997572815534,-0.5505362,0.22554379,-0.32780436,-0.06425472,-0.74780826,1,-1.12,2.23,-0.32,0.44,-0.07,-0.05,0.84,-0.38,-1.97,-0.86,<span style="background-color:#7e7eff">i</span> <span style="background-color:#ff0000">hate</span> <span style="background-color:#dadaff">the</span> <span style="background-color:#ffcccc">movie</span> <span style="background-color:#f6f6ff">though</span> <span style="background-color:#f8f8ff">the</span> <span style="background-color:#ff9e9e">plot</span> <span style="background-color:#d3d3ff">is</span> <span style="background-color:#1c1cff">interesting</span> <span style="background-color:#9c9cff">.</span> 
10,20,0.434,0.7870145631068,1.63149267,0.72189954,-0.43369396,-1.43580031,-1.68409467,0,-0.63,2.60,0.20,0.57,-1.26,0.22,0.76,0.33,-1.13,-0.69,<span style="background-color:#c2c2ff">i</span> <span style="background-color:#ff0000">hate</span> <span style="background-color:#ffecec">the</span> <span style="background-color:#ffc8c8">movie</span> <span style="background-color:#8383ff">though</span> <span style="background-color:#ffeaea">the</span> <span style="background-color:#ffb3b3">plot</span> <span style="background-color:#ffdede">is</span> <span style="background-color:#9090ff">interesting</span> <span style="background-color:#babaff">.</span> 
15,3,0.4385,0.78944174757282,0.62161219,1.02386622,-0.47183757,-0.76698169,-1.63690847,1,-0.02,0.65,-0.10,0.26,0.03,-0.06,0.52,-0.01,-0.69,0.05,<span style="background-color:#f8f8ff">i</span> <span style="background-color:#ff0e0e">hate</span> <span style="background-color:#dadaff">the</span> <span style="background-color:#ff9e9e">movie</span> <span style="background-color:#fff4f4">though</span> <span style="background-color:#e6e6ff">the</span> <span style="background-color:#ff4040">plot</span> <span style="background-color:#fcfcff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#ffeeee">.</span> 
15,4,0.4285,0.79004854368932,0.01658567,0.92162536,0.04561586,-0.92575995,-2.17569497,1,-0.34,0.98,-0.06,0.18,-0.27,-0.13,0.43,-0.10,-1.27,-0.14,<span style="background-color:#babaff">i</span> <span style="background-color:#ff3939">hate</span> <span style="background-color:#f2f2ff">the</span> <span style="background-color:#ffdcdc">movie</span> <span style="background-color:#c8c8ff">though</span> <span style="background-color:#e6e6ff">the</span> <span style="background-color:#ffa8a8">plot</span> <span style="background-color:#eaeaff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#e3e3ff">.</span> 
15,5,0.457,0.81067961165049,1.10450892,0.84171771,-0.47276251,-0.72733821,-1.49090054,0,-0.76,2.67,-0.38,0.37,-0.62,-0.26,0.84,-0.16,-1.74,-0.28,<span style="background-color:#b6b6ff">i</span> <span style="background-color:#ff0000">hate</span> <span style="background-color:#dadaff">the</span> <span style="background-color:#ffdcdc">movie</span> <span style="background-color:#c3c3ff">though</span> <span style="background-color:#e6e6ff">the</span> <span style="background-color:#ffaeae">plot</span> <span style="background-color:#f0f0ff">is</span> <span style="background-color:#5858ff">interesting</span> <span style="background-color:#e3e3ff">.</span> 
15,7,0.439,0.79733009708738,0.62136759,0.91920414,-0.38649299,-0.38854769,-1.63497126,1,-0.93,0.74,-0.29,-0.03,-0.25,-0.10,0.35,-0.13,-0.95,-0.20,<span style="background-color:#0404ff">i</span> <span style="background-color:#ff3636">hate</span> <span style="background-color:#b0b0ff">the</span> <span style="background-color:#f8f8ff">movie</span> <span style="background-color:#bcbcff">though</span> <span style="background-color:#e6e6ff">the</span> <span style="background-color:#ffa0a0">plot</span> <span style="background-color:#dcdcff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#cacaff">.</span> 
15,10,0.445,0.78094660194175,0.36425331,0.37968964,-0.45730932,-0.78591059,-1.84563341,1,-0.66,0.92,-0.17,0.10,-0.06,-0.19,0.51,-0.27,-1.24,-0.81,<span style="background-color:#7676ff">i</span> <span style="background-color:#ff4141">hate</span> <span style="background-color:#dadaff">the</span> <span style="background-color:#ffeaea">movie</span> <span style="background-color:#f2f2ff">though</span> <span style="background-color:#d8d8ff">the</span> <span style="background-color:#ff9696">plot</span> <span style="background-color:#c6c6ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#5858ff">.</span> 
15,15,0.455,0.80521844660194,0.46837087,0.18185792,-0.75374727,-0.27244789,-0.84029582,0,-0.91,3.26,-0.24,0.48,0.50,-0.15,1.29,-0.35,-3.51,-0.12,<span style="background-color:#bcbcff">i</span> <span style="background-color:#ff1111">hate</span> <span style="background-color:#eeeeff">the</span> <span style="background-color:#ffdcdc">movie</span> <span style="background-color:#ffdada">though</span> <span style="background-color:#f3f3ff">the</span> <span style="background-color:#ffa2a2">plot</span> <span style="background-color:#e6e6ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#f6f6ff">.</span> 
15,20,0.4435,0.82281553398058,0.42857734,0.2857573,-0.84626732,-0.89415892,-1.49383941,0,-1.32,3.25,0.06,0.57,-1.14,0.05,0.93,-0.32,-4.42,0.18,<span style="background-color:#b2b2ff">i</span> <span style="background-color:#ff4141">hate</span> <span style="background-color:#fffcfc">the</span> <span style="background-color:#ffdede">movie</span> <span style="background-color:#bebeff">though</span> <span style="background-color:#fffcfc">the</span> <span style="background-color:#ffc8c8">plot</span> <span style="background-color:#ececff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#fff4f4">.</span> 
20,3,0.4335,0.80218446601942,1.12481211,1.57798574,0.10553388,-0.97999423,-2.33718437,1,-0.29,0.81,0.29,0.11,0.19,0.23,0.53,-0.02,-1.04,-0.04,<span style="background-color:#b6b6ff">i</span> <span style="background-color:#ff3838">hate</span> <span style="background-color:#ffb8b8">the</span> <span style="background-color:#ffe2e2">movie</span> <span style="background-color:#ffd0d0">though</span> <span style="background-color:#ffc6c6">the</span> <span style="background-color:#ff7e7e">plot</span> <span style="background-color:#fafaff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#f3f3ff">.</span> 
20,4,0.4355,0.79186893203883,0.61506729,1.10791841,-0.02060285,-0.93490487,-2.22011928,1,-0.29,1.09,-0.16,0.15,-0.11,-0.01,0.68,-0.05,-1.25,-0.16,<span style="background-color:#c3c3ff">i</span> <span style="background-color:#ff2020">hate</span> <span style="background-color:#dedeff">the</span> <span style="background-color:#ffe0e0">movie</span> <span style="background-color:#eaeaff">though</span> <span style="background-color:#fefeff">the</span> <span style="background-color:#ff7474">plot</span> <span style="background-color:#f6f6ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#dedeff">.</span> 
20,5,0.451,0.8118932038835,1.26299144,1.00928504,-0.49274223,-0.47306389,-1.21959754,0,-0.04,0.99,-0.09,0.22,-0.18,-0.12,0.50,-0.14,-1.47,-0.19,<span style="background-color:#f8f8ff">i</span> <span style="background-color:#ff5454">hate</span> <span style="background-color:#f0f0ff">the</span> <span style="background-color:#ffd8d8">movie</span> <span style="background-color:#e0e0ff">though</span> <span style="background-color:#eaeaff">the</span> <span style="background-color:#ffa8a8">plot</span> <span style="background-color:#e6e6ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#dedeff">.</span> 
20,7,0.4625,0.80582524271845,0.56510223,0.85286474,-0.31784711,-1.15428913,-2.18651077,1,-0.85,1.20,-0.07,-0.00,0.57,-0.10,0.54,-0.18,-1.53,-0.42,<span style="background-color:#7171ff">i</span> <span style="background-color:#ff3636">hate</span> <span style="background-color:#f3f3ff">the</span> <span style="background-color:#fefeff">movie</span> <span style="background-color:#ffa0a0">though</span> <span style="background-color:#eeeeff">the</span> <span style="background-color:#ffa6a6">plot</span> <span style="background-color:#e0e0ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#babaff">.</span> 
20,10,0.4545,0.80157766990291,0.0568606,0.42068881,-0.45236516,-0.64771572,-1.78240063,1,-0.77,0.88,0.07,0.00,0.53,0.08,0.67,-0.18,-1.86,-0.35,<span style="background-color:#9393ff">i</span> <span style="background-color:#ff8686">hate</span> <span style="background-color:#fff6f6">the</span> <span style="background-color:#fffefe">movie</span> <span style="background-color:#ffb6b6">though</span> <span style="background-color:#fff4f4">the</span> <span style="background-color:#ffa2a2">plot</span> <span style="background-color:#e6e6ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#d0d0ff">.</span> 
20,15,0.4525,0.77366504854369,0.87159609,1.42353205,-0.62645194,-1.38703037,-2.14700832,1,-1.03,1.53,0.18,0.12,0.57,0.06,0.58,-0.33,-1.82,-0.43,<span style="background-color:#6e6eff">i</span> <span style="background-color:#ff2828">hate</span> <span style="background-color:#ffe6e6">the</span> <span style="background-color:#ffeeee">movie</span> <span style="background-color:#ffaeae">though</span> <span style="background-color:#fff6f6">the</span> <span style="background-color:#ffaeae">plot</span> <span style="background-color:#d0d0ff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#c2c2ff">.</span> 
20,20,0.4655,0.81371359223301,0.99138132,0.79780913,-0.58005589,-1.05226657,-0.90846486,0,-0.62,2.95,-0.01,1.12,-0.17,0.10,1.76,-0.60,-4.26,0.56,<span style="background-color:#dadaff">i</span> <span style="background-color:#ff4e4e">hate</span> <span style="background-color:#fefeff">the</span> <span style="background-color:#ffbcbc">movie</span> <span style="background-color:#f6f6ff">though</span> <span style="background-color:#fff8f8">the</span> <span style="background-color:#ff9696">plot</span> <span style="background-color:#dadaff">is</span> <span style="background-color:#0000ff">interesting</span> <span style="background-color:#ffdede">.</span> 
